customer,order_id,status
"Divya Rao",24,pending
"Karthik Reddy",25,cancelled
"Karthik Reddy",26,delivered
"Karthik Reddy",27,pending
"Karthik Reddy",28,delivered
"Karthik Reddy",29,delivered
"Karthik Reddy",30,cancelled
"Karthik Reddy",31,delivered
"Karthik Reddy",32,delivered
"Karthik Reddy",33,pending
"Karthik Reddy",34,delivered
"Karthik Reddy",35,cancelled
"Karthik Reddy",36,pending
"Meera Shah",37,delivered
"Meera Shah",38,delivered
"Meera Shah",39,pending
"Meera Shah",40,cancelled
"Meera Shah",41,delivered
"Meera Shah",42,pending
"Meera Shah",43,delivered
"Meera Shah",44,delivered
"Meera Shah",45,cancelled
"Meera Shah",46,delivered
"Meera Shah",47,delivered
"Meera Shah",48,pending
"Rohan Deshmukh",49,delivered
"Rohan Deshmukh",50,cancelled
"Rohan Deshmukh",51,pending
"Rohan Deshmukh",52,delivered
"Rohan Deshmukh",53,delivered
"Rohan Deshmukh",54,pending
"Rohan Deshmukh",55,cancelled
"Rohan Deshmukh",56,delivered
"Rohan Deshmukh",57,pending
"Rohan Deshmukh",58,delivered
"Rohan Deshmukh",59,delivered
"Rohan Deshmukh",60,cancelled
"Nisha Patel",61,delivered
"Nisha Patel",62,delivered
"Nisha Patel",63,pending
"Nisha Patel",64,delivered
"Nisha Patel",65,cancelled
"Nisha Patel",66,pending
"Nisha Patel",67,delivered
"Nisha Patel",68,delivered
"Nisha Patel",69,pending
"Nisha Patel",70,cancelled
"Nisha Patel",71,delivered
"Nisha Patel",72,pending
"Sourav Ghosh",73,delivered
"Sourav Ghosh",74,delivered
"Sourav Ghosh",75,cancelled
"Sourav Ghosh",76,delivered
"Sourav Ghosh",77,delivered
"Sourav Ghosh",78,pending
"Sourav Ghosh",79,delivered
"Sourav Ghosh",80,cancelled
"Sourav Ghosh",81,pending
"Sourav Ghosh",82,delivered
"Sourav Ghosh",83,delivered
"Sourav Ghosh",84,pending
"Anjali Kumari",85,cancelled
"Anjali Kumari",86,delivered
"Anjali Kumari",87,pending
"Anjali Kumari",88,delivered
"Anjali Kumari",89,delivered
"Anjali Kumari",90,cancelled
"Anjali Kumari",91,delivered
"Anjali Kumari",92,delivered
"Anjali Kumari",93,pending
"Anjali Kumari",94,delivered
"Anjali Kumari",95,cancelled
"Anjali Kumari",96,pending
"Rajesh Singh",97,delivered
"Rajesh Singh",98,delivered
"Rajesh Singh",99,pending
"Rajesh Singh",100,cancelled
"Rajesh Singh",101,delivered
"Rajesh Singh",102,pending
"Rajesh Singh",103,delivered
"Rajesh Singh",104,delivered
"Rajesh Singh",105,cancelled
"Rajesh Singh",106,delivered
"Rajesh Singh",107,delivered
"Rajesh Singh",108,pending
"Vikram Malhotra",109,delivered
"Vikram Malhotra",110,cancelled
"Vikram Malhotra",111,pending
"Vikram Malhotra",112,delivered
"Vikram Malhotra",113,delivered
"Vikram Malhotra",114,pending
"Vikram Malhotra",115,cancelled
"Vikram Malhotra",116,delivered
"Vikram Malhotra",117,pending
"Vikram Malhotra",118,delivered
"Vikram Malhotra",119,delivered
"Vikram Malhotra",120,cancelled
"Priya Sharma",121,delivered
"Priya Sharma",122,delivered
"Priya Sharma",123,pending
"Priya Sharma",124,delivered
"Priya Sharma",125,cancelled
"Priya Sharma",126,pending
"Priya Sharma",127,delivered
"Priya Sharma",128,delivered
"Priya Sharma",129,pending
"Priya Sharma",130,cancelled
"Priya Sharma",131,delivered
"Priya Sharma",132,pending
"Amit Verma",133,delivered
"Amit Verma",134,delivered
"Amit Verma",135,cancelled
"Amit Verma",136,delivered
"Amit Verma",137,delivered
"Amit Verma",138,pending
"Amit Verma",139,delivered
"Amit Verma",140,cancelled
"Amit Verma",141,pending
"Amit Verma",142,delivered
"Amit Verma",143,delivered
"Amit Verma",144,pending
"Rajesh Singh",145,delivered
